lat,lon
40.633926,22.956742
40.597275,22.954437
40.633927,22.939293
45.017528,-123.016639
40.626723,22.952289
45.005123,-123.040167
38.559242,-121.424621
46.508736,-84.328924
37.874054,-122.256081
40.069203,-75.007222
40.400949,-75.347888
40.076841,-75.368282
40.07691,-75.380448
40.076897,-75.380388
40.54929,-75.322309
40.100115,-75.049838
40.253,-75.125
32.748676,-117.250763
41.131434,-111.927977
33.634515,-117.834249
34.303524,-77.911528
34.216883,-77.803536
34.216688,-77.804137
34.148355,-77.881374
34.206962,-77.945588
34.23291,-77.94566
37.052847,-113.535866
37.114908,-113.520136
37.137828,-113.365155
37.0406,-113.629431
44.29426,-88.674622
44.260415,-88.400196
32.656526,-115.46214
32.606774,-115.467735
32.981308,-115.541168
32.984393,-115.5467
32.978798,-115.550333
32.581507,-115.431288
32.194929,-115.001166
32.35602,-115.196344
32.634277,-115.520661
32.654639,-115.525922
47.584956,-122.00042
37.240967,-121.80977
47.622972,-122.288573
37.281142,-121.887007
38.893707,-77.145674
38.757861,-77.219852
37.952089,-121.919108
37.83834,-121.974869
51.743693,-1.22639
40.401871,-79.865521
36.748348,-119.796146
40.445999,-79.908612
40.434606,-79.910864
40.625451,-79.865422
40.185697,-105.1142
41.892265,-87.685569
42.82766,74.586895
29.545221,-95.40096
37.758148,-122.507665
38.433425,-122.709114
38.019891,-122.54754
48.384074,-123.737341
-10.940045,-69.567216
34.07876,-118.022474
34.041174,-118.483985
34.061824,-118.443376
51.129202,71.466846
-30.513695,151.660191
-30.49812,151.652763
-30.509468,151.673621
-30.22117,151.671217
-30.516705,151.657407
-30.508505,151.661677
-30.523415,151.645415
41.489963,-81.711452
-33.415232,-70.608156
-33.442257,-70.542499
44.044779,-123.07422
34.021077,-118.426446
43.095257,-89.341866
43.095538,-89.341557
43.093871,-89.343093
40.445642,-111.888089
43.09215,-89.342927
43.096731,-89.343014
43.094908,-89.343573
43.099028,-89.352982
43.09211,-89.342876
34.866257,-120.294977
40.481754,-111.841075
33.520221,-82.000526
40.449538,-111.88973
49.1917,-2.12203
40.45344,-80.014495
40.493534,-111.867661
40.891716,-111.860557
40.782788,-111.946692
40.881748,-111.871553
40.770191,-111.947073
40.47604,-111.887055
40.409571,-111.852501
40.639707,-111.869771
40.339838,-111.717772
40.787846,-111.732094
41.150281,-112.070119
33.763767,-118.145649
33.762314,-118.082689
33.765174,-118.078255
33.770245,-118.090093
37.304911,-107.817876
48.396785,-119.546439
48.929095,-119.311237
48.427997,-119.460322
44.8717,-116.115
44.8717,-116.1148
48.423607,-119.522137
48.402915,-119.540451
48.361562,-119.570352
48.355876,-119.593556
48.074752,-119.952998
58.303013,-134.415245
37.862023,-122.094043
37.722405,-122.439139
37.435263,-122.147381
37.72714,-122.44277
37.947832,-122.327747
37.505614,-122.47874
37.904963,-122.142185
37.45323,-122.231538
37.45494,-122.262831
37.875165,-122.27071
42.350039,-71.103878
36.613876,-92.922228
46.17063,6.123685
24.139729,120.63218
39.482608,-106.044387
39.193417,-106.809602
39.651589,-106.827801
39.623845,-106.495915
39.63762,-106.527169
39.186993,-106.812738
39.639076,-106.941801
39.721867,-106.661204
39.571439,-106.081242
39.590024,-106.005062
30.552188,-91.034473
30.422432,-91.103277
30.455883,-91.065058
30.530006,-91.191073
49.005918,12.099009
38.557832,-121.760293
30.22836,-97.754155
30.285022,-97.741655
35.734416,-78.849483
48.671757,-121.250488
48.539281,-121.44818
39.29768,-76.604763
41.185318,-111.935089
41.053087,-111.972504
41.361837,-111.743249
33.953518,-117.309751
30.530765,-84.190822
19.520863,-101.605833
-33.933838,150.617092
53.817947,-1.489076
26.240831,-80.097747
26.93638,-80.10983
36.375168,-86.598256
36.372608,-86.840123
37.768393,-122.401602
47.672394,-122.360183
37.393342,-121.987498
13.016512,77.501462
38.876441,-77.398977
40.452064,-79.905733
36.330416,-119.330271
34.971067,-120.438165
34.620394,-120.206884
34.969795,-120.567992
34.63782,-120.4575
34.609423,-120.134709
40.345144,-79.874507
34.957912,-120.402731
63.655008,-148.825074
63.72164,-148.965982
