,created,lat,lon,x,y,epa_pm25_value,ndvi,wind_x,wind_y,elevation,neighbor_0,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,neighbor_8,neighbor_9,neighbor_10,neighbor_11,neighbor_12,neighbor_13,neighbor_14,neighbor_15,neighbor_16,neighbor_17,neighbor_18,neighbor_19,neighbor_20,neighbor_21,neighbor_22,neighbor_23,temperature,humidity
21,201909010000,37.89890345968432,-122.5347392117897,0,55,5.1,5683,1.2155372436685097,-6.893654271085457,4,,,5.42,,,,3.14,,3.72,3.48,3.88,,,0.89,2.62,8.84,2.56,,,1.45,1.95,,,,91.0,35.0
22,201909010000,37.902447658618605,-122.5347392117897,0,56,5.1,5683,1.2155372436685097,-6.893654271085457,10,,5.42,,,,,,3.48,3.88,3.14,,,3.72,2.56,0.89,2.62,8.84,,,1.95,1.45,,,,91.0,35.0
23,201909010000,37.90599168687483,-122.5347392117897,0,57,5.1,7500,1.2155372436685097,-6.893654271085457,65,5.42,,,,,,3.48,,,,3.88,2.56,3.14,0.89,3.72,2.62,8.84,,,1.95,1.45,,,,91.0,35.0
24,201909010000,37.90953554444767,-122.5347392117897,0,58,5.1,7116,1.2155372436685097,-6.893654271085457,61,5.42,,,,,3.48,,,,3.88,,2.56,0.89,2.62,3.14,8.84,3.72,,,1.95,1.45,1.04,,,91.0,35.0
25,201909010000,37.913079231331785,-122.5347392117897,0,59,5.1,7116,1.2155372436685097,-6.893654271085457,41,,5.42,,,3.48,,,,2.56,3.88,,,0.89,2.62,8.84,,3.14,3.72,,1.95,1.04,1.45,,,91.0,35.0
26,201909010000,37.91662274752183,-122.5347392117897,0,60,5.1,7597,1.2155372436685097,-6.893654271085457,90,,,3.48,,,5.42,,2.56,,3.88,,,0.89,2.62,8.84,,3.14,3.72,1.95,,1.04,1.45,,,88.0,40.0
27,201909010000,37.92016609301249,-122.5347392117897,0,61,5.1,7664,1.2155372436685097,-6.893654271085457,182,,3.48,,,,2.56,5.42,,,3.88,,,0.89,,2.62,8.84,3.14,3.72,1.95,,1.04,1.45,,,88.0,40.0
28,201909010000,37.92370926779842,-122.5347392117897,0,62,5.1,7664,1.2155372436685097,-6.893654271085457,127,,,3.48,,,2.56,5.42,,,3.88,0.89,,,,2.62,8.84,3.14,3.72,1.04,1.95,,,1.45,,88.0,40.0
29,201909010000,37.927252271874316,-122.5347392117897,0,63,5.1,7709,1.2155372436685097,-6.893654271085457,63,,,2.56,3.48,,,5.42,,,3.88,,0.89,,2.62,8.84,,1.04,3.14,1.95,3.72,,,1.45,,97.0,31.0
30,201909010000,37.93079510523484,-122.5347392117897,0,64,5.1,7222,1.2155372436685097,-6.893654271085457,21,2.56,,,3.48,,,5.42,,3.88,,,0.89,2.62,8.84,,,1.04,1.95,3.14,3.72,,,1.45,,97.0,31.0
31,201909010000,37.934337767874666,-122.5347392117897,0,65,5.1,7222,1.2155372436685097,-6.893654271085457,14,2.56,,,3.48,,,5.42,,3.88,,,1.04,0.89,2.62,8.84,,,1.95,3.14,3.72,,,1.45,,97.0,31.0
32,201909010000,37.93788025978849,-122.5347392117897,0,66,5.1,6574,1.2155372436685097,-6.893654271085457,16,2.56,,,3.48,,,5.42,,3.88,1.04,,,0.89,2.62,8.84,,,1.95,,3.14,,3.72,1.45,,97.0,31.0
33,201909010000,37.94142258097101,-122.5347392117897,0,67,5.1,4833,1.2155372436685097,-6.893654271085457,2,2.56,,,3.48,,,1.04,5.42,,3.88,,,0.89,2.62,8.84,,,,1.95,3.14,,3.72,,1.45,97.0,31.0
34,201909010000,37.944964731416896,-122.5347392117897,0,68,5.1,4833,-4.0,4.898587196589413e-16,4,2.56,,,3.48,,,1.04,5.42,,3.88,,,0.89,,2.62,8.84,,,1.95,3.14,,3.72,,1.45,97.0,31.0
35,201909010000,37.94850671112083,-122.5347392117897,0,69,5.1,4726,-4.0,4.898587196589413e-16,15,2.56,,,3.48,1.04,,,5.42,3.88,,,,,0.89,2.62,8.84,,,1.95,,3.14,3.72,,1.45,97.0,31.0
36,201909010000,37.952048520077525,-122.5347392117897,0,70,5.1,4726,-4.0,4.898587196589413e-16,20,2.56,,,1.04,3.48,,,,3.88,,5.42,,,0.89,2.62,8.84,,1.95,,,3.14,3.72,,1.45,97.0,31.0
37,201909010000,37.95559015828168,-122.5347392117897,0,71,5.1,6518,-4.0,4.898587196589413e-16,22,2.56,1.04,,,3.48,,,,,3.88,5.42,,,0.89,2.62,8.84,,1.95,,,3.14,3.72,,1.45,94.5,33.0
38,201909010000,37.959131625728,-122.5347392117897,0,72,5.1,6815,-4.0,4.898587196589413e-16,69,1.04,2.56,,,3.48,,,,,3.88,5.42,,,0.89,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
39,201909010000,37.96267292241117,-122.5347392117897,0,73,5.1,6815,-4.0,4.898587196589413e-16,82,1.04,2.56,,,,3.48,,,,3.88,5.42,,,0.89,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
40,201909010000,37.966214048325895,-122.5347392117897,0,74,5.1,7064,-4.0,4.898587196589413e-16,22,1.04,,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
